R,G,B,A
66,30,15,255
65,29,15,255
64,29,15,255
64,28,15,255
63,28,15,255
62,28,15,255
62,27,16,255
61,27,16,255
60,27,16,255
60,26,16,255
59,26,16,255
58,26,16,255
58,25,17,255
57,25,17,255
57,24,17,255
56,24,17,255
55,24,17,255
55,23,17,255
54,23,18,255
53,23,18,255
53,22,18,255
52,22,18,255
51,22,18,255
51,21,18,255
50,21,19,255
49,21,19,255
49,20,19,255
48,20,19,255
48,19,19,255
47,19,19,255
46,19,20,255
46,18,20,255
45,18,20,255
44,18,20,255
44,17,20,255
43,17,21,255
42,17,21,255
42,16,21,255
41,16,21,255
41,15,21,255
40,15,21,255
39,15,22,255
39,14,22,255
38,14,22,255
37,14,22,255
37,13,22,255
36,13,22,255
35,13,23,255
35,12,23,255
34,12,23,255
33,12,23,255
33,11,23,255
32,11,23,255
32,10,24,255
31,10,24,255
30,10,24,255
30,9,24,255
29,9,24,255
28,9,24,255
28,8,25,255
27,8,25,255
26,8,25,255
26,7,25,255
25,7,25,255
25,7,26,255
24,6,26,255
24,6,26,255
24,6,26,255
24,6,27,255
23,6,27,255
23,6,27,255
23,6,28,255
23,6,28,255
22,6,28,255
22,6,29,255
22,5,29,255
22,5,29,255
21,5,30,255
21,5,30,255
21,5,30,255
21,5,31,255
20,5,31,255
20,5,31,255
20,5,32,255
20,5,32,255
19,5,32,255
19,4,33,255
19,4,33,255
19,4,33,255
18,4,34,255
18,4,34,255
18,4,34,255
18,4,35,255
17,4,35,255
17,4,35,255
17,4,36,255
17,4,36,255
16,3,36,255
16,3,37,255
16,3,37,255
16,3,37,255
15,3,38,255
15,3,38,255
15,3,38,255
15,3,39,255
14,3,39,255
14,3,39,255
14,2,40,255
14,2,40,255
13,2,40,255
13,2,41,255
13,2,41,255
13,2,41,255
12,2,42,255
12,2,42,255
12,2,42,255
12,2,43,255
11,2,43,255
11,1,43,255
11,1,44,255
11,1,44,255
10,1,44,255
10,1,45,255
10,1,45,255
10,1,45,255
9,1,46,255
9,1,46,255
9,1,46,255
9,1,47,255
8,1,47,255
8,1,47,255
8,1,48,255
8,1,48,255
8,1,49,255
8,1,49,255
8,1,49,255
8,1,50,255
8,1,50,255
8,1,51,255
8,1,51,255
8,1,51,255
7,1,52,255
7,1,52,255
7,1,53,255
7,1,53,255
7,1,53,255
7,1,54,255
7,1,54,255
7,1,55,255
7,1,55,255
7,2,55,255
7,2,56,255
7,2,56,255
7,2,57,255
6,2,57,255
6,2,57,255
6,2,58,255
6,2,58,255
6,2,59,255
6,2,59,255
6,2,60,255
6,2,60,255
6,2,60,255
6,2,61,255
6,2,61,255
6,2,62,255
6,2,62,255
5,2,62,255
5,2,63,255
5,2,63,255
5,2,64,255
5,3,64,255
5,3,64,255
5,3,65,255
5,3,65,255
5,3,66,255
5,3,66,255
5,3,66,255
5,3,67,255
5,3,67,255
4,3,68,255
4,3,68,255
4,3,68,255
4,3,69,255
4,3,69,255
4,3,70,255
4,3,70,255
4,3,70,255
4,3,71,255
4,3,71,255
4,3,72,255
4,3,72,255
4,4,73,255
3,4,73,255
3,4,73,255
3,4,74,255
3,4,74,255
3,4,75,255
3,4,75,255
3,4,75,255
3,4,76,255
3,4,76,255
3,4,77,255
3,4,77,255
3,4,78,255
3,4,78,255
3,4,78,255
3,4,79,255
3,4,79,255
2,4,80,255
2,4,80,255
2,4,81,255
2,4,81,255
2,4,81,255
2,5,82,255
2,5,82,255
2,5,83,255
2,5,83,255
2,5,83,255
2,5,84,255
2,5,84,255
2,5,85,255
2,5,85,255
2,5,86,255
2,5,86,255
1,5,86,255
1,5,87,255
1,5,87,255
1,5,88,255
1,5,88,255
1,5,89,255
1,5,89,255
1,5,89,255
1,5,90,255
1,5,90,255
1,6,91,255
1,6,91,255
1,6,91,255
1,6,92,255
1,6,92,255
1,6,93,255
0,6,93,255
0,6,94,255
0,6,94,255
0,6,94,255
0,6,95,255
0,6,95,255
0,6,96,255
0,6,96,255
0,6,97,255
0,6,97,255
0,6,97,255
0,6,98,255
0,6,98,255
0,6,99,255
0,6,99,255
0,7,100,255
0,7,100,255
0,8,101,255
0,8,101,255
0,9,102,255
0,9,102,255
1,10,103,255
1,11,104,255
1,11,104,255
1,12,105,255
1,12,105,255
2,13,106,255
2,13,107,255
2,14,107,255
2,15,108,255
2,15,108,255
3,16,109,255
3,16,110,255
3,17,110,255
3,17,111,255
3,18,111,255
3,19,112,255
4,19,113,255
4,20,113,255
4,20,114,255
4,21,114,255
4,22,115,255
5,22,116,255
5,23,116,255
5,23,117,255
5,24,117,255
5,24,118,255
6,25,119,255
6,26,119,255
6,26,120,255
6,27,120,255
6,27,121,255
6,28,121,255
7,28,122,255
7,29,123,255
7,30,123,255
7,30,124,255
7,31,124,255
8,31,125,255
8,32,126,255
8,33,126,255
8,33,127,255
8,34,127,255
9,34,128,255
9,35,129,255
9,35,129,255
9,36,130,255
9,37,130,255
9,37,131,255
10,38,132,255
10,38,132,255
10,39,133,255
10,39,133,255
10,40,134,255
11,41,135,255
11,41,135,255
11,42,136,255
11,42,136,255
11,43,137,255
12,44,138,255
12,44,138,255
12,45,139,255
12,45,139,255
12,46,140,255
12,46,141,255
13,47,141,255
13,48,142,255
13,48,142,255
13,49,143,255
13,49,144,255
14,50,144,255
14,51,145,255
14,51,145,255
14,52,146,255
14,52,147,255
15,53,147,255
15,54,148,255
15,54,148,255
15,55,149,255
15,55,150,255
15,56,150,255
16,57,151,255
16,57,152,255
16,58,152,255
16,58,153,255
16,59,153,255
17,60,154,255
17,60,155,255
17,61,155,255
17,61,156,255
17,62,156,255
18,63,157,255
18,63,158,255
18,64,158,255
18,64,159,255
18,65,159,255
18,65,160,255
19,66,161,255
19,67,161,255
19,67,162,255
19,68,162,255
19,68,163,255
20,69,164,255
20,70,164,255
20,70,165,255
20,71,166,255
20,71,166,255
21,72,167,255
21,73,167,255
21,73,168,255
21,74,169,255
21,74,169,255
21,75,170,255
22,76,170,255
22,76,171,255
22,77,172,255
22,77,172,255
22,78,173,255
23,79,173,255
23,79,174,255
23,80,175,255
23,80,175,255
23,81,176,255
24,82,177,255
24,82,177,255
25,83,178,255
25,84,178,255
26,84,179,255
26,85,179,255
27,86,180,255
27,86,180,255
28,87,181,255
28,88,181,255
29,88,182,255
29,89,182,255
30,90,183,255
30,90,183,255
31,91,184,255
31,92,184,255
32,92,185,255
32,93,185,255
33,94,186,255
33,94,186,255
34,95,187,255
34,96,187,255
35,96,188,255
35,97,188,255
36,98,189,255
36,98,189,255
37,99,190,255
37,100,190,255
38,100,191,255
38,101,191,255
39,102,192,255
39,102,192,255
40,103,193,255
41,104,193,255
41,104,194,255
42,105,194,255
42,106,195,255
43,106,195,255
43,107,196,255
44,108,196,255
44,108,197,255
45,109,197,255
45,110,198,255
46,110,198,255
46,111,199,255
47,112,199,255
47,112,200,255
48,113,200,255
48,114,201,255
49,114,201,255
49,115,202,255
50,116,202,255
50,116,203,255
51,117,203,255
51,118,204,255
52,118,204,255
52,119,205,255
53,120,205,255
53,120,206,255
54,121,206,255
54,122,207,255
55,122,207,255
55,123,208,255
56,124,208,255
57,125,209,255
58,125,209,255
59,126,209,255
60,127,209,255
61,128,210,255
63,129,210,255
64,130,210,255
65,131,211,255
66,132,211,255
67,132,211,255
69,133,212,255
70,134,212,255
71,135,212,255
72,136,213,255
73,137,213,255
75,138,213,255
