R,G,B,A
0,7,100,255
0,7,100,255
0,8,101,255
0,8,101,255
0,9,102,255
0,10,103,255
1,10,103,255
1,11,104,255
1,11,105,255
1,12,105,255
1,13,106,255
2,13,106,255
2,14,107,255
2,14,108,255
2,15,108,255
2,16,109,255
3,16,110,255
3,17,110,255
3,17,111,255
3,18,111,255
3,19,112,255
4,19,113,255
4,20,113,255
4,21,114,255
4,21,115,255
4,22,115,255
5,22,116,255
5,23,116,255
5,24,117,255
5,24,118,255
5,25,118,255
6,25,119,255
6,26,120,255
6,27,120,255
6,27,121,255
6,28,122,255
7,28,122,255
7,29,123,255
7,30,123,255
7,30,124,255
7,31,125,255
8,32,125,255
8,32,126,255
8,33,127,255
8,33,127,255
8,34,128,255
8,35,128,255
9,35,129,255
9,36,130,255
9,36,130,255
9,37,131,255
9,38,132,255
10,38,132,255
10,39,133,255
10,39,133,255
10,40,134,255
10,41,135,255
11,41,135,255
11,42,136,255
11,43,137,255
11,43,137,255
11,44,138,255
12,44,138,255
12,45,139,255
12,46,140,255
12,46,140,255
12,47,141,255
13,47,142,255
13,48,142,255
13,49,143,255
13,49,144,255
13,50,144,255
14,50,145,255
14,51,145,255
14,52,146,255
14,52,147,255
14,53,147,255
15,53,148,255
15,54,149,255
15,55,149,255
15,55,150,255
15,56,150,255
16,57,151,255
16,57,152,255
16,58,152,255
16,58,153,255
16,59,154,255
16,60,154,255
17,60,155,255
17,61,155,255
17,61,156,255
17,62,157,255
17,63,157,255
18,63,158,255
18,64,159,255
18,64,159,255
18,65,160,255
18,66,160,255
19,66,161,255
19,67,162,255
19,68,162,255
19,68,163,255
19,69,164,255
20,69,164,255
20,70,165,255
20,71,166,255
20,71,166,255
20,72,167,255
21,72,167,255
21,73,168,255
21,74,169,255
21,74,169,255
21,75,170,255
22,75,171,255
22,76,171,255
22,77,172,255
22,77,172,255
22,78,173,255
23,79,174,255
23,79,174,255
23,80,175,255
23,80,176,255
23,81,176,255
24,82,177,255
24,82,177,255
24,83,178,255
24,83,179,255
24,84,179,255
25,85,180,255
25,85,181,255
25,86,181,255
25,86,182,255
25,87,182,255
25,88,183,255
26,88,184,255
26,89,184,255
26,90,185,255
26,90,186,255
26,91,186,255
27,91,187,255
27,92,188,255
27,93,188,255
27,93,189,255
27,94,189,255
28,94,190,255
28,95,191,255
28,96,191,255
28,96,192,255
28,97,193,255
29,97,193,255
29,98,194,255
29,99,194,255
29,99,195,255
29,100,196,255
30,100,196,255
30,101,197,255
30,102,198,255
30,102,198,255
30,103,199,255
31,104,199,255
31,104,200,255
31,105,201,255
31,105,201,255
31,106,202,255
32,107,203,255
32,107,203,255
33,108,203,255
34,108,203,255
35,109,203,255
35,109,204,255
36,110,204,255
37,110,204,255
38,111,204,255
39,112,204,255
39,112,204,255
40,113,205,255
41,113,205,255
42,114,205,255
42,114,205,255
43,115,205,255
44,115,206,255
45,116,206,255
45,117,206,255
46,117,206,255
47,118,206,255
48,118,207,255
49,119,207,255
49,119,207,255
50,120,207,255
51,120,207,255
52,121,208,255
52,122,208,255
53,122,208,255
54,123,208,255
55,123,208,255
55,124,209,255
56,124,209,255
57,125,209,255
58,125,209,255
59,126,209,255
59,127,210,255
60,127,210,255
61,128,210,255
62,128,210,255
62,129,210,255
63,129,211,255
64,130,211,255
65,130,211,255
66,131,211,255
66,132,211,255
67,132,212,255
68,133,212,255
69,133,212,255
69,134,212,255
70,134,212,255
71,135,212,255
72,135,213,255
72,136,213,255
73,137,213,255
74,137,213,255
75,138,213,255
76,138,214,255
76,139,214,255
77,139,214,255
78,140,214,255
79,140,214,255
79,141,215,255
80,142,215,255
81,142,215,255
82,143,215,255
82,143,215,255
83,144,216,255
84,144,216,255
85,145,216,255
86,146,216,255
86,146,216,255
87,147,217,255
88,147,217,255
89,148,217,255
89,148,217,255
90,149,217,255
91,149,218,255
92,150,218,255
92,151,218,255
93,151,218,255
94,152,218,255
95,152,219,255
96,153,219,255
96,153,219,255
97,154,219,255
98,154,219,255
99,155,220,255
99,156,220,255
100,156,220,255
101,157,220,255
102,157,220,255
102,158,221,255
103,158,221,255
104,159,221,255
105,159,221,255
106,160,221,255
106,161,221,255
107,161,222,255
108,162,222,255
109,162,222,255
109,163,222,255
110,163,222,255
111,164,223,255
112,164,223,255
112,165,223,255
113,166,223,255
114,166,223,255
115,167,224,255
116,167,224,255
116,168,224,255
117,168,224,255
118,169,224,255
119,169,225,255
119,170,225,255
120,171,225,255
121,171,225,255
122,172,225,255
122,172,226,255
123,173,226,255
124,173,226,255
125,174,226,255
126,174,226,255
126,175,227,255
127,176,227,255
128,176,227,255
129,177,227,255
129,177,227,255
130,178,228,255
131,178,228,255
132,179,228,255
132,179,228,255
133,180,228,255
134,181,229,255
135,181,229,255
136,182,229,255
136,182,229,255
137,183,229,255
138,183,229,255
139,184,230,255
139,184,230,255
140,185,230,255
141,186,230,255
142,186,230,255
143,187,231,255
143,187,231,255
144,188,231,255
145,188,231,255
146,189,231,255
146,189,232,255
147,190,232,255
148,191,232,255
149,191,232,255
149,192,232,255
150,192,233,255
151,193,233,255
152,193,233,255
153,194,233,255
153,194,233,255
154,195,234,255
155,196,234,255
156,196,234,255
156,197,234,255
157,197,234,255
158,198,235,255
159,198,235,255
159,199,235,255
160,199,235,255
161,200,235,255
162,201,236,255
163,201,236,255
163,202,236,255
164,202,236,255
165,203,236,255
166,203,237,255
166,204,237,255
167,204,237,255
168,205,237,255
169,206,237,255
169,206,237,255
170,207,238,255
171,207,238,255
172,208,238,255
173,208,238,255
173,209,238,255
174,209,239,255
175,210,239,255
176,211,239,255
176,211,239,255
177,212,239,255
178,212,240,255
179,213,240,255
179,213,240,255
180,214,240,255
181,214,240,255
182,215,241,255
183,216,241,255
183,216,241,255
184,217,241,255
185,217,241,255
186,218,242,255
186,218,242,255
187,219,242,255
188,219,242,255
189,220,242,255
189,221,243,255
190,221,243,255
191,222,243,255
192,222,243,255
193,223,243,255
193,223,244,255
194,224,244,255
195,224,244,255
196,225,244,255
196,226,244,255
197,226,245,255
198,227,245,255
199,227,245,255
199,228,245,255
200,228,245,255
201,229,246,255
202,229,246,255
203,230,246,255
203,231,246,255
204,231,246,255
205,232,246,255
206,232,247,255
206,233,247,255
207,233,247,255
208,234,247,255
209,234,247,255
209,235,248,255
210,236,248,255
211,236,248,255
212,237,248,255
213,237,248,255
213,238,249,255
214,238,249,255
215,239,249,255
216,239,249,255
216,240,249,255
217,241,250,255
218,241,250,255
219,242,250,255
219,242,250,255
220,243,250,255
221,243,251,255
222,244,251,255
223,244,251,255
223,245,251,255
224,246,251,255
225,246,252,255
226,247,252,255
226,247,252,255
227,248,252,255
228,248,252,255
229,249,253,255
230,249,253,255
230,250,253,255
231,251,253,255
232,251,253,255
233,252,254,255
233,252,254,255
234,253,254,255
235,253,254,255
236,254,254,255
236,254,254,255
237,254,253,255
237,254,252,255
237,253,251,255
237,253,250,255
237,253,249,255
237,252,248,255
237,252,247,255
237,252,246,255
237,251,245,255
237,251,243,255
237,250,242,255
237,250,241,255
238,250,240,255
238,249,239,255
238,249,238,255
238,249,237,255
238,248,236,255
238,248,234,255
238,247,233,255
238,247,232,255
238,247,231,255
238,246,230,255
238,246,229,255
238,246,228,255
238,245,227,255
239,245,225,255
239,244,224,255
239,244,223,255
239,244,222,255
239,243,221,255
239,243,220,255
239,243,219,255
239,242,218,255
239,242,217,255
239,241,215,255
239,241,214,255
239,241,213,255
239,240,212,255
240,240,211,255
240,240,210,255
240,239,209,255
240,239,208,255
240,238,206,255
240,238,205,255
240,238,204,255
240,237,203,255
240,237,202,255
240,237,201,255
240,236,200,255
240,236,199,255
241,236,198,255
241,235,196,255
241,235,195,255
241,234,194,255
241,234,193,255
241,234,192,255
241,233,191,255
241,233,190,255
241,233,189,255
241,232,187,255
241,232,186,255
241,231,185,255
241,231,184,255
242,231,183,255
242,230,182,255
242,230,181,255
242,230,180,255
242,229,178,255
242,229,177,255
242,228,176,255
242,228,175,255
242,228,174,255
242,227,173,255
242,227,172,255
242,227,171,255
242,226,170,255
243,226,168,255
243,225,167,255
243,225,166,255
243,225,165,255
243,224,164,255
243,224,163,255
243,224,162,255
243,223,161,255
243,223,159,255
243,222,158,255
243,222,157,255
243,222,156,255
244,221,155,255
244,221,154,255
244,221,153,255
244,220,152,255
244,220,151,255
244,219,149,255
244,219,148,255
244,219,147,255
244,218,146,255
244,218,145,255
244,218,144,255
244,217,143,255
244,217,142,255
245,216,140,255
245,216,139,255
245,216,138,255
245,215,137,255
245,215,136,255
245,215,135,255
245,214,134,255
245,214,133,255
245,213,131,255
245,213,130,255
245,213,129,255
245,212,128,255
246,212,127,255
246,212,126,255
246,211,125,255
246,211,124,255
246,211,123,255
246,210,121,255
246,210,120,255
246,209,119,255
246,209,118,255
246,209,117,255
246,208,116,255
246,208,115,255
246,208,114,255
247,207,112,255
247,207,111,255
247,206,110,255
247,206,109,255
247,206,108,255
247,205,107,255
247,205,106,255
247,205,105,255
247,204,103,255
247,204,102,255
247,203,101,255
247,203,100,255
247,203,99,255
248,202,98,255
248,202,97,255
248,202,96,255
248,201,95,255
248,201,93,255
248,200,92,255
248,200,91,255
248,200,90,255
248,199,89,255
248,199,88,255
248,199,87,255
248,198,86,255
249,198,84,255
249,197,83,255
249,197,82,255
249,197,81,255
249,196,80,255
249,196,79,255
249,196,78,255
249,195,77,255
249,195,76,255
249,194,74,255
249,194,73,255
249,194,72,255
249,193,71,255
250,193,70,255
250,193,69,255
250,192,68,255
250,192,67,255
250,191,65,255
250,191,64,255
250,191,63,255
250,190,62,255
250,190,61,255
250,190,60,255
250,189,59,255
250,189,58,255
250,188,56,255
251,188,55,255
251,188,54,255
251,187,53,255
251,187,52,255
251,187,51,255
251,186,50,255
251,186,49,255
251,186,48,255
251,185,46,255
251,185,45,255
251,184,44,255
251,184,43,255
252,184,42,255
252,183,41,255
252,183,40,255
252,183,39,255
252,182,37,255
252,182,36,255
252,181,35,255
252,181,34,255
252,181,33,255
252,180,32,255
252,180,31,255
252,180,30,255
252,179,29,255
253,179,27,255
253,178,26,255
253,178,25,255
253,178,24,255
253,177,23,255
253,177,22,255
253,177,21,255
253,176,20,255
253,176,18,255
253,175,17,255
253,175,16,255
253,175,15,255
253,174,14,255
254,174,13,255
254,174,12,255
254,173,11,255
254,173,9,255
254,172,8,255
254,172,7,255
254,172,6,255
254,171,5,255
254,171,4,255
