R,G,B,A
47,19,55,255
48,19,55,255
48,18,56,255
49,18,57,255
50,17,58,255
50,17,59,255
50,17,59,255
51,17,60,255
51,17,61,255
52,17,62,255
52,16,63,255
53,16,64,255
54,16,65,255
54,16,66,255
55,16,67,255
56,16,69,255
56,16,70,255
57,16,71,255
58,16,72,255
58,16,74,255
59,17,75,255
60,17,76,255
61,17,78,255
62,17,79,255
62,17,81,255
63,17,82,255
64,17,84,255
65,18,85,255
66,18,87,255
67,18,88,255
68,18,90,255
68,19,91,255
69,19,93,255
70,19,95,255
71,20,96,255
72,20,98,255
73,21,100,255
73,21,102,255
74,21,103,255
75,22,105,255
76,22,107,255
77,23,108,255
77,23,110,255
78,24,112,255
79,25,114,255
80,25,115,255
80,26,117,255
81,27,119,255
82,27,120,255
82,28,122,255
83,29,124,255
83,30,125,255
84,31,127,255
85,32,128,255
85,33,130,255
86,33,131,255
86,34,133,255
87,35,134,255
87,36,136,255
87,37,137,255
88,39,139,255
88,40,140,255
89,41,141,255
89,42,143,255
89,43,144,255
90,44,145,255
90,45,146,255
90,46,148,255
90,48,149,255
91,49,150,255
91,50,151,255
91,51,152,255
91,52,153,255
92,53,154,255
92,55,155,255
92,56,156,255
92,57,157,255
92,58,158,255
92,60,159,255
92,61,160,255
93,62,161,255
93,63,162,255
93,64,163,255
93,66,164,255
93,67,164,255
93,68,165,255
93,69,166,255
93,70,167,255
93,72,167,255
93,73,168,255
94,74,169,255
94,75,170,255
94,77,170,255
94,78,171,255
94,79,172,255
94,80,172,255
94,81,173,255
94,83,173,255
94,84,174,255
94,85,175,255
94,86,175,255
94,87,176,255
94,89,176,255
94,90,177,255
94,91,177,255
94,92,178,255
94,93,178,255
95,94,179,255
95,96,179,255
95,97,180,255
95,98,180,255
95,99,180,255
95,100,181,255
95,101,181,255
95,103,182,255
95,104,182,255
95,105,182,255
96,106,183,255
96,107,183,255
96,108,183,255
96,109,184,255
96,110,184,255
96,112,184,255
97,113,185,255
97,114,185,255
97,115,185,255
97,116,186,255
97,117,186,255
98,118,186,255
98,119,186,255
98,120,187,255
99,122,187,255
99,123,187,255
99,124,187,255
100,125,188,255
100,126,188,255
100,127,188,255
101,128,188,255
101,129,189,255
101,130,189,255
102,131,189,255
102,132,189,255
103,133,189,255
103,134,190,255
104,135,190,255
104,136,190,255
105,137,190,255
106,138,190,255
106,139,190,255
107,141,191,255
107,142,191,255
108,143,191,255
109,144,191,255
109,145,191,255
110,146,191,255
111,147,192,255
111,148,192,255
112,149,192,255
113,150,192,255
114,151,192,255
115,152,192,255
115,153,193,255
116,154,193,255
117,154,193,255
118,155,193,255
119,156,193,255
120,157,193,255
121,158,193,255
122,159,194,255
123,160,194,255
124,161,194,255
125,162,194,255
126,163,194,255
127,164,194,255
128,165,195,255
129,166,195,255
130,167,195,255
131,168,195,255
132,169,195,255
133,170,196,255
134,171,196,255
136,171,196,255
137,172,196,255
138,173,196,255
139,174,197,255
140,175,197,255
142,176,197,255
143,177,197,255
144,178,197,255
146,179,198,255
147,180,198,255
148,180,198,255
150,181,198,255
151,182,199,255
152,183,199,255
154,184,199,255
155,185,200,255
156,186,200,255
158,187,200,255
159,187,201,255
161,188,201,255
162,189,201,255
164,190,202,255
165,191,202,255
167,192,202,255
168,192,203,255
170,193,203,255
171,194,204,255
173,195,204,255
174,196,204,255
176,196,205,255
177,197,205,255
179,198,206,255
180,199,206,255
182,199,207,255
183,200,207,255
185,201,208,255
186,202,208,255
188,202,209,255
189,203,210,255
191,204,210,255
192,205,211,255
194,205,211,255
195,206,212,255
197,207,212,255
198,207,213,255
199,208,214,255
201,209,214,255
202,209,215,255
203,210,215,255
205,210,216,255
206,211,216,255
207,212,217,255
208,212,218,255
210,213,218,255
211,213,219,255
212,214,219,255
213,214,220,255
214,214,220,255
215,215,221,255
216,215,221,255
217,215,222,255
217,216,222,255
218,216,222,255
219,216,223,255
220,216,223,255
221,217,224,255
221,217,224,255
222,217,224,255
223,217,225,255
223,217,225,255
224,217,225,255
224,217,226,255
225,216,226,255
225,216,226,255
225,216,225,255
225,216,225,255
225,216,224,255
225,216,223,255
225,216,223,255
225,216,222,255
225,215,221,255
224,215,221,255
224,215,220,255
224,214,219,255
224,214,218,255
223,214,217,255
223,213,216,255
223,213,215,255
223,212,214,255
222,211,213,255
222,211,212,255
222,210,211,255
221,209,209,255
221,209,208,255
221,208,207,255
220,207,205,255
220,206,204,255
219,206,203,255
219,205,201,255
219,204,200,255
218,203,198,255
218,202,196,255
217,201,195,255
217,200,193,255
216,199,192,255
216,198,190,255
216,197,188,255
215,196,187,255
215,195,185,255
214,194,183,255
214,193,181,255
213,192,180,255
213,191,178,255
212,190,176,255
212,189,175,255
211,188,173,255
211,187,171,255
211,186,169,255
210,185,168,255
210,184,166,255
209,183,164,255
209,182,163,255
209,180,161,255
208,179,159,255
208,178,158,255
207,177,156,255
207,176,154,255
207,175,153,255
206,174,151,255
206,172,149,255
206,171,148,255
205,170,146,255
205,169,144,255
205,168,143,255
204,167,141,255
204,165,140,255
204,164,138,255
204,163,137,255
203,162,135,255
203,161,133,255
203,159,132,255
202,158,131,255
202,157,129,255
202,156,128,255
202,155,126,255
201,153,125,255
201,152,123,255
201,151,122,255
201,150,121,255
200,148,120,255
200,147,118,255
200,146,117,255
199,145,116,255
199,143,114,255
199,142,113,255
199,141,112,255
198,140,111,255
198,139,110,255
198,137,109,255
197,136,108,255
197,135,107,255
197,134,106,255
196,132,105,255
196,131,104,255
196,130,103,255
195,129,102,255
195,127,101,255
195,126,100,255
194,125,99,255
194,124,98,255
194,123,97,255
193,121,96,255
193,120,96,255
192,119,95,255
192,118,94,255
192,116,93,255
191,115,93,255
191,114,92,255
190,113,91,255
190,112,91,255
189,110,90,255
189,109,90,255
188,108,89,255
188,107,89,255
187,106,88,255
